Date_Time,SJR_NO,CAP_NO,EMA_NO,FEO_NO,SJR_NO2,CAP_NO2,EMA_NO2,FEO_NO2,EPG_NO2,JOV_NO2,COR_NO2,SJR_NOx,CAP_NOx,EMA_NOx,FEO_NOx,SJR_CO,CAP_CO,EMA_CO,FEO_CO,EPG_CO,JOV_CO,COR_CO,SJR_O3,CAP_O3,EMA_O3,FEO_O3,EPG_O3,JOV_O3,COR_O3,SJR_SO2,CAP_SO2,EMA_SO2,FEO_SO2,EPG_SO2,JOV_SO2,COR_SO2,SJR_PM25,CAP_PM25,EMA_PM25,FEO_PM25,EPG_PM25,JOV_PM25,COR_PM25,SJR_HR,CAP_HR,EMA_HR,FEO_HR,EPG_HR,JOV_HR,COR_HR,SJR_TMP,CAP_TMP,EMA_TMP,FEO_TMP,EPG_TMP,JOV_TMP,COR_TMP,SJR_DV,CAP_DV,EMA_DV,FEO_DV,EPG_DV,JOV_DV,COR_DV,SJR_VV,CAP_VV,EMA_VV,FEO_VV,EPG_VV,JOV_VV,COR_VV,SJR_PB,CAP_PB,EMA_PB,FEO_PB,EPG_PB,JOV_PB,COR_PB,SJR_RS,CAP_RS,EMA_RS,FEO_RS,SJR_PP,CAP_PP,EMA_PP,FEO_PP,CAP_PM10,CAP_NO2I,COR_NO2I,EPG_NO2I,FEO_NO2I,JOV_NO2I,SJU_NO2I,CAP_COI,COR_COI,EPG_COI,FEO_COI,JOV_COI,SJU_COI,CAP_O3I,COR_O3I,EPG_O3I,FEO_O3I,JOV_O3I,SJU_O3I,CAP_SO2I,COR_SO2I,EPG_SO2I,FEO_SO2I,JOV_SO2I,SJU_SO2I,CAP_PM25I,COR_PM25I,EPG_PM25I,FEO_PM25I,JOV_PM25I,SJU_PM25I,CAP_PM10I,COR_PM10I,EPG_PM10I,FEO_PM10I,JOV_PM10I,SJU_PM10I
2024-06-25 14:00:00,5.08, 7.58,NA, 5.50,16.53, 6.71,NA, 6.83,12.69,12.83, 7.38,21.55,14.29,NA,12.30,0.57,1.10,NA,0.72,0.30,0.70,0.63,30.68,54.82,NA,47.29,42.89,44.89,53.58,5.84, 3.72,NA,2.86,5.50,2.12,2.61,11.02,0,NA,10.88, 9.38,NA, 2.61,NA,NA,NA,45.78,54.82, 58.75, 57.32,NA,NA,NA,24.62,24.18,24.09,24.58,NA,0,NA,258.63,219.28,193.2,200.74,NA,0,NA,1.28,NA,3.56,0.57,NA,NA,NA,816.49,817.09,815.08,618.92,0.03,NA,NA,NA,NA,NA,NA,0.00,11.6,0.007,0.007,0.013,0.007,0.013,0.017,1.24,0.90,0.41,1.01,0.68,0.54,0.055,0.054,0.043,0.047,0.045,0.031,0.001,0.002,0.002,0.001,0.001,0.004,0, 4, 9,10,0,13,15,0,0,0,0,0
2024-06-25 15:00:00,6.62, 7.76,NA, 7.44,12.50,11.56,NA, 9.12,13.32,16.87, 9.46,19.07,19.31,NA,16.51,0.37,1.15,NA,0.79,0.55,0.75,0.67,42.09,50.07,NA,42.67,40.70,40.60,53.92,6.44, 2.10,NA,1.45,2.85,1.42,2.11, 5.20,  7.8,NA,12.54, 7.56,NA, 7.86,NA,NA,NA,49.77,64.04, 70.40, 61.76,NA,NA,NA,22.99,22.26,22.53,23.58,NA,0,NA,306.68,242.64,222.8,220.35,NA,0,NA,0.77,NA,3.47,0.63,NA,NA,NA,816.32,816.96,814.93,620.56,0.03,NA,NA,NA,NA,NA,NA,0.00, 2.4,0.012,0.009,0.013,0.009,0.017,0.013,1.21,0.83,0.40,0.94,0.67,0.52,0.050,0.054,0.041,0.043,0.041,0.042,0.001,0.002,0.002,0.001,0.001,0.004,0, 6, 8,11,0, 9, 9,0,0,0,0,0
2024-06-25 16:00:00,3.49, 6.96,NA, 8.63,10.32,14.86,NA,13.18,33.19,28.02,14.66,13.77,21.82,NA,21.75,0.39,1.26,NA,0.85,0.38,0.91,0.69,47.86,31.71,NA,33.51,21.71,30.00,41.77,4.31, 0.80,NA,1.52,1.78,1.15,1.74, 2.59,  5.5,NA, 4.34,20.16,NA,14.80,NA,NA,NA,66.48,98.08, 89.44, 94.39,NA,NA,NA,19.89,19.37,19.42,19.44,NA,0,NA,291.31,247.21,222.1,214.96,NA,0,NA,0.11,NA,2.33,1.42,NA,NA,NA,816.03,816.74,814.75,620.08,0.03,NA,NA,NA,NA,NA,NA,0.64,45.4,0.000,0.015,0.033,0.013,0.028,0.010,1.16,0.75,0.39,0.86,0.69,0.49,0.000,0.042,0.022,0.034,0.030,0.048,0.001,0.002,0.002,0.001,0.001,0.004,0,11,14, 8,0, 6, 9,0,0,0,0,0
2024-06-25 17:00:00,3.89, 5.39,NA, 5.38,15.67,14.49,NA, 9.21,32.86,31.17,18.55,19.50,19.88,NA,14.56,0.46,1.30,NA,0.76,1.65,0.93,0.81,39.40,30.70,NA,36.76,24.06,26.22,36.16,3.99, 1.37,NA,1.67,1.65,1.05,1.66,13.35,0,NA, 4.10,13.85,NA, 7.35,NA,NA,NA,64.71,83.44, 80.69, 91.26,NA,NA,NA,20.91,20.87,20.57,20.42,NA,0,NA,282.86,273.33,214.5,214.13,NA,0,NA,1.41,NA,1.49,0.66,NA,NA,NA,815.47,816.14,814.21,620.18,0.03,NA,NA,NA,NA,NA,NA,0.00,24.5,0.014,0.019,0.033,0.009,0.031,0.016,1.18,0.71,0.46,0.82,0.72,0.46,0.031,0.036,0.024,0.037,0.026,0.039,0.001,0.002,0.002,0.001,0.001,0.004,0, 9,14, 6,0,10,26,0,0,0,0,0
2024-06-25 18:00:00,4.37, 2.68,NA, 6.47,21.73, 7.91,NA,11.04,18.68,30.17,20.19,26.03,10.59,NA,17.46,0.58,1.19,NA,0.85,0.16,0.88,0.80,31.16,33.25,NA,35.32,31.22,26.54,34.62,4.40, 1.19,NA,1.43,1.49,1.79,1.95,13.02, 11.6,NA, 4.56,11.99,NA,11.43,NA,NA,NA,59.01,78.73, 80.29, 88.02,NA,NA,NA,22.00,21.50,21.37,21.15,NA,0,NA,283.30,241.71,222.3,212.57,NA,0,NA,0.96,NA,1.37,0.57,NA,NA,NA,815.47,816.17,814.23,619.88,0.03,NA,NA,NA,NA,NA,NA,0.00, 6.6,0.008,0.020,0.019,0.011,0.030,0.022,1.18,0.69,0.48,0.82,0.75,0.46,0.033,0.035,0.031,0.035,0.027,0.031,0.001,0.002,0.002,0.001,0.001,0.004,0,10,13, 5,0,11,16,0,0,0,0,0
2024-06-25 19:00:00,2.42, 3.92,NA,10.89,13.79,15.84,NA,15.32,23.85,27.88,16.65,16.17,19.76,NA,26.11,0.46,1.36,NA,1.17,0.62,0.94,0.77,33.34,26.18,NA,31.21,27.63,27.48,41.02,4.05, 1.51,NA,1.70,1.56,1.78,1.84, 9.49, 22.9,NA,10.69, 8.05,NA,11.32,NA,NA,NA,58.39,75.83, 76.44, 80.09,NA,NA,NA,22.26,21.64,21.52,21.72,NA,0,NA,301.26,213.12,199.6,195.97,NA,0,NA,0.60,NA,1.05,0.45,NA,NA,NA,815.64,816.41,814.46,618.68,0.03,NA,NA,NA,NA,NA,NA,0.00,13.2,0.016,0.017,0.024,0.015,0.028,0.014,1.20,0.70,0.53,0.84,0.79,0.45,0.026,0.041,0.028,0.031,0.027,0.033,0.001,0.002,0.002,0.001,0.002,0.004,0,11,11, 8,0,10,15,0,0,0,0,0
2024-06-25 20:00:00,0.60, 6.26,NA,13.37,14.88,26.13,NA,19.63,36.14,41.47,23.17,15.44,32.39,NA,32.91,0.46,1.76,NA,1.26,0.34,1.20,0.88,28.80,18.70,NA,21.30,17.55,13.60,31.09,3.42, 1.83,NA,1.31,1.97,1.27,1.63,12.01,  1.8,NA,11.20,14.62,NA,15.02,NA,NA,NA,62.43,76.42, 77.06, 81.55,NA,NA,NA,21.85,21.61,21.32,21.48,NA,0,NA,316.07,130.51,247.5,229.47,NA,0,NA,0.83,NA,0.44,0.59,NA,NA,NA,816.17,816.91,814.95,621.15,0.03,NA,NA,NA,NA,NA,NA,0.00,23.8,0.026,0.023,0.036,0.020,0.041,0.015,1.28,0.73,0.54,0.90,0.87,0.46,0.019,0.031,0.018,0.021,0.014,0.029,0.001,0.002,0.002,0.001,0.002,0.004,0,13,13,10,0,11,19,0,0,0,0,0
2024-06-25 21:00:00,3.30,14.10,NA,11.94,17.24,28.80,NA,17.48,24.29,31.17,28.91,20.49,42.91,NA,29.35,0.54,1.75,NA,1.34,0.44,0.91,1.01,19.74,14.59,NA,17.27,19.49,16.55,23.05,3.49, 1.53,NA,1.19,1.94,1.02,1.48,10.64, 10.7,NA,11.82,14.87,NA,19.86,NA,NA,NA,65.33,76.03, 84.57, 93.11,NA,NA,NA,21.00,20.81,20.25,19.94,NA,0,NA, 37.44, 60.49, 98.3, 99.67,NA,0,NA,0.20,NA,2.19,1.38,NA,NA,NA,816.64,817.41,815.56,610.93,0.03,NA,NA,NA,NA,NA,NA,0.03,36.7,0.029,0.029,0.024,0.017,0.031,0.017,1.36,0.78,0.56,0.97,0.90,0.48,0.015,0.023,0.019,0.017,0.017,0.020,0.001,0.002,0.002,0.001,0.002,0.004,0,16,14,11,0,11,28,0,0,0,0,0
2024-06-25 22:00:00,0.62, 4.66,NA,10.38,14.28,16.67,NA, 9.86,12.09,17.56,27.19,14.86,21.33,NA,20.17,0.41,1.27,NA,0.88,0.48,0.67,0.98,18.59,18.65,NA,22.30,22.79,21.54,16.51,2.70, 0.99,NA,0.98,1.50,0.95,1.36, 4.69,182.1,NA, 5.53, 6.83,NA,20.38,NA,NA,NA,64.20,81.20, 84.22,100.00,NA,NA,NA,19.81,19.62,19.48,18.91,NA,0,NA, 26.54, 71.59, 66.0,109.00,NA,0,NA,0.24,NA,3.16,0.82,NA,NA,NA,817.24,817.94,816.03,611.64,0.03,NA,NA,NA,NA,NA,NA,0.00,24.9,0.017,0.027,0.012,0.010,0.018,0.014,1.38,0.83,0.58,0.99,0.90,0.46,0.019,0.017,0.023,0.022,0.022,0.019,0.001,0.002,0.002,0.001,0.002,0.004,0,18,10, 8,0, 8,26,0,0,0,0,0
2024-06-25 23:00:00,0.73, 4.04,NA, 8.58,11.89,13.59,NA,11.57,10.50,15.90,11.49,12.58,17.63,NA,20.09,0.35,1.25,NA,0.95,0.40,0.62,0.81,16.97,17.82,NA,15.81,21.91,19.28,23.75,2.76, 0.73,NA,0.97,1.36,0.66,1.36, 7.93,0,NA, 6.48, 4.33,NA, 9.52,NA,NA,NA,66.56,85.34, 84.78,100.00,NA,NA,NA,19.48,19.19,19.12,18.11,NA,0,NA,107.22, 86.47,129.9,109.94,NA,0,NA,0.51,NA,1.70,0.70,NA,NA,NA,817.98,818.74,816.80,611.84,0.03,NA,NA,NA,NA,NA,NA,0.00,16.0,0.014,0.011,0.011,0.012,0.016,0.012,1.39,0.84,0.56,1.01,0.88,0.46,0.018,0.024,0.022,0.016,0.019,0.017,0.001,0.002,0.002,0.001,0.002,0.004,0,14, 7, 7,0, 8,21,0,0,0,0,0
