Fecha,AJO1N,CEN1N,CAP1N,COR1N,EMA1N,EPG1N,FEO1N,JOV1N,SJR1N,AJO2C,CEN2C,CAP2C,COR2C,EMA2C,EPG2C,FEO2C,JOV2C,SJR2C,AJO3O,CEN3O,CAP3O,COR3O,EMA3O,EPG3O,FEO3O,JOV3O,SJR3O,AJO4S,CEN4S,CAP4S,COR4S,EMA4S,EPG4S,FEO4S,JOV4S,SJR4S,CEN5P,COR5P,EMA5P,EPG5P,FEO5P,JOV5P,SJR5P,CAP6P,CAPTM,CAPHR,CAPVV,CAPDV,CAPPB,CAPPP
31/12/2023 22:00,NA,NA,0.04237,0.02385,NA,0.06257,0.04441,0.0586,0.01853,NA,NA,5.2,0.98,NA,3.37,5.28,2.78,0.38,NA,NA,0.00741,0.02454,NA,0.00299,0.005,0.00712,0.0402,NA,NA,0.01674,0.00342,NA,0.0068,0.0056,0.00778,0.00427,NA,36.17,NA,106.25,NA,NA,20.38,270.62,NA,NA,NA,NA,NA,NA
31/12/2023 23:00,NA,NA,0.03888,0.03459,NA,0.06099,0.04266,0.0608,0.01578,NA,NA,3.89,1.33,NA,3.56,6.64,4.82,0.33,NA,NA,0.00518,0.00988,NA,0.00298,0.00478,0.0065,0.0364,NA,NA,0.01497,0.00288,NA,0.0072,0.00772,0.01291,0.00329,NA,41.79,NA,138.31,NA,NA,11.33,297.21,NA,NA,NA,NA,NA,NA
01/01/2024 00:00,NA,NA,0.03676,0.02837,NA,0.04953,0.0378,0.0554,0.03255,NA,NA,2.71,1.22,NA,3.31,5.45,5.55,0.7,NA,NA,0.00395,0.01254,NA,0.00493,0.00376,0.00564,0.01811,NA,NA,0.01057,0.00288,NA,0.00987,0.00668,0.0184,0.00451,NA,51.14,NA,194.5,NA,NA,16.03,214.2,NA,NA,NA,NA,NA,NA
01/01/2024 01:00,NA,NA,0.03533,0.03282,NA,0.04403,0.03573,0.04904,0.01983,NA,NA,2.56,1.43,NA,2.67,2.3,4.42,0.44,NA,NA,0.00431,0.00496,NA,0.00581,0.00421,0.00375,0.03176,NA,NA,0.01078,0.00259,NA,0.01014,0.01355,0.02161,0.00706,NA,59.19,NA,153.04,NA,NA,23.89,180.18,NA,NA,NA,NA,NA,NA
01/01/2024 02:00,NA,NA,0.03434,0.03183,NA,0.04214,0.03625,0.04416,0.02866,NA,NA,2.49,1.7,NA,2.54,2.69,4.67,0.6,NA,NA,0.00447,0.00311,NA,0.00319,0.0036,0.00484,0.01402,NA,NA,0.0104,0.0025,NA,0.00939,0.0126,0.01894,0.00509,NA,87.48,NA,283.53,NA,NA,48.11,221.22,NA,NA,NA,NA,NA,NA
01/01/2024 03:00,NA,NA,0.03285,0.02961,NA,0.04022,0.03196,0.03675,0.02744,NA,NA,2.56,1.81,NA,3.61,2.06,4.22,0.62,NA,NA,0.00435,0.00235,NA,0.00351,0.00324,0.0049,0.01486,NA,NA,0.00896,0.00263,NA,0.00773,0.00689,0.01479,0.00475,NA,99.07,NA,230.22,NA,NA,44.54,198.99,NA,NA,NA,NA,NA,NA
01/01/2024 04:00,NA,NA,0.03126,0.0159,NA,0.03746,0.02919,0.03448,0.03449,NA,NA,2.38,1,NA,2.03,2.35,4.78,1.03,NA,NA,0.00376,0.01378,NA,0.0024,0.00392,0.00534,0.00371,NA,NA,0.00802,0.0023,NA,0.00598,0.0055,0.00909,0.00511,NA,77.27,NA,228.42,NA,NA,43.12,176.42,NA,NA,NA,NA,NA,NA
01/01/2024 05:00,NA,NA,0.02554,0.0137,NA,0.03573,0.02716,0.03015,0.03288,NA,NA,2.77,0.95,NA,2.1,3.37,4.7,1.1,NA,NA,0.00853,0.01467,NA,0.00156,0.00364,0.00446,0.00322,NA,NA,0.01017,0.00244,NA,0.00479,0.00507,0.00822,0.00429,NA,56.57,NA,111.54,NA,NA,45.41,186.77,NA,NA,NA,NA,NA,NA
01/01/2024 06:00,NA,NA,0.02608,0.00914,NA,0.0341,0.02372,0.02868,0.03197,NA,NA,2.24,0.81,NA,1.66,2.26,3.27,1.08,NA,NA,0.0065,0.01936,NA,1,0.00444,0.0029,0.00383,NA,NA,0.00916,0.0024,NA,0.00421,0.00413,0.00723,0.00457,NA,42.79,NA,89.88,NA,NA,48,194.19,NA,NA,NA,NA,NA,NA
01/01/2024 07:00,NA,NA,0.025,0.01258,NA,0.02787,0.01811,0.02562,0.03017,NA,NA,2.04,0.87,NA,1.54,1.1,3.17,0.92,NA,NA,0.00423,0.01357,NA,0.00173,0.00869,0.00313,0.00446,NA,NA,0.00772,0.00213,NA,0.00367,0.0035,0.00654,0.00419,NA,43.02,NA,71.28,NA,NA,51.57,146.42,NA,NA,NA,NA,NA,NA
