"Date_Time","CAP_NO2","COR_NO2","EPG_NO2","FEO_NO2","JOV_NO2","SJU_NO2","CAP_CO","COR_CO","EPG_CO","FEO_CO","JOV_CO","SJU_CO","CAP_O3","COR_O3","EPG_O3","FEO_O3","JOV_O3","SJU_O3","CAP_SO2","COR_SO2","EPG_SO2","FEO_SO2","JOV_SO2","SJU_SO2","CAP_PM25","COR_PM25","EPG_PM25","FEO_PM25","JOV_PM25","SJU_PM25","CAP_PM10","COR_PM10","EPG_PM10","FEO_PM10","JOV_PM10","SJU_PM10"
"2024-07-25 00:00:00",0.008,0.017,0.008,0.01,0.015,0.01,1.91,0.97,0.27,1.1,0.66,0.22,0.042,0.035,0.037,0.032,0.032,0.028,0.001,0.002,0.001,0.001,0.001,0.006,0,5,7,7,0,5,11,0,0,0,0,0
"2024-07-25 01:00:00",0.01,0.014,0.005,0.007,0.017,0.011,1.9,0.96,0.25,1.07,0.64,0.23,0.034,0.031,0.033,0.034,0.029,0.021,0.001,0.002,0.001,0.001,0.001,0.005,0,4,5,7,0,7,8,0,0,0,0,0
"2024-07-25 02:00:00",0.009,0.014,0.006,0.01,0.025,0.015,1.88,0.95,0.24,1.05,0.63,0.23,0.029,0.025,0.031,0.023,0.017,0.015,0.001,0.002,0.001,0.001,0.001,0.005,0,7,4,3,0,10,6,0,0,0,0,0
"2024-07-25 03:00:00",0.01,0.012,0.011,0.009,0.033,0.02,1.84,0.93,0.22,1,0.62,0.24,0.024,0.022,0.024,0.024,0.005,0.006,0.001,0.002,0.001,0.001,0.001,0.005,0,7,5,4,0,10,6,0,0,0,0,0
"2024-07-25 04:00:00",0.013,0.012,0.011,0.008,0.034,0.008,1.81,0.94,0.19,0.95,0.63,0.22,0.019,0.013,0.023,0.025,0.001,0.016,0.002,0.002,0.002,0.001,0.001,0.005,0,8,6,4,0,10,8,0,0,0,0,0
"2024-07-25 05:00:00",0.015,0.014,0.016,0.008,0.029,0.022,1.78,0.93,0.16,0.88,0.63,0.22,0.013,0.013,0.017,0.022,0.004,0.004,0.002,0.002,0.002,0.001,0.001,0.005,0,9,7,4,0,10,11,0,0,0,0,0
"2024-07-25 06:00:00",0.02,0.019,0.019,0.016,0.018,0.023,1.74,0.92,0.14,0.83,0.62,0.21,0.006,0.006,0.011,0.011,0.012,0.001,0.002,0.002,0.002,0.001,0.001,0.005,0,11,9,5,0,10,12,0,0,0,0,0
"2024-07-25 07:00:00",0.02,0.02,0.02,0.014,0.016,0.018,1.76,0.94,0.15,0.83,0.64,0.23,0.005,0.004,0.009,0.008,0.013,0.004,0.002,0.002,0.002,0.001,0.001,0.005,0,10,9,9,0,9,15,0,0,0,0,0
"2024-07-25 08:00:00",0.019,0.025,0.023,0.014,0.02,0.013,1.79,0.97,0.17,0.87,0.66,0.24,0.007,0.004,0.007,0.009,0.011,0.007,0.001,0.002,0.002,0.001,0.001,0.005,0,11,10,10,0,7,16,0,0,0,0,0
"2024-07-25 09:00:00",0.014,0.022,0.017,0.012,0.021,0.011,1.82,1,0.2,0.91,0.69,0.26,0.014,0.006,0.013,0.011,0.009,0.012,0.001,0.002,0.002,0.001,0.001,0.005,0,12,10,8,0,6,17,0,0,0,0,0
"2024-07-25 10:00:00",0.015,0.017,0.018,0.013,0.028,0.01,1.85,1.02,0.22,0.96,0.73,0.27,0.014,0.016,0.014,0.012,0.008,0.015,0.001,0.002,0.002,0.002,0.001,0.005,0,12,9,6,0,7,18,0,0,0,0,0
"2024-07-25 11:00:00",0.011,0.013,0.021,0.012,0.022,0.008,1.86,1.03,0.23,0.98,0.74,0.27,0.032,0.031,0.021,0.021,0.026,0.023,0.004,0.002,0.002,0.004,0.001,0.005,0,10,8,8,0,9,19,0,0,0,0,0
"2024-07-25 12:00:00",0.008,0.01,0.024,0.009,0.014,0.008,1.87,1.04,0.25,1,0.74,0.29,0.046,0.045,0.027,0.034,0.04,0.032,0.003,0.002,0.003,0.003,0.001,0.006,0,9,9,7,0,10,20,0,0,0,0,0
"2024-07-25 13:00:00",0.005,0.007,0.011,0.007,0.014,0.007,1.86,1.04,0.25,1.02,0.73,0.29,0.056,0.054,0.043,0.042,0.049,0.047,0.002,0.002,0.003,0.002,0.002,0.006,0,9,10,8,0,11,19,0,0,0,0,0
"2024-07-25 14:00:00",0.003,0.005,0.007,0.005,0.012,0.007,1.84,1.04,0.25,0.99,0.73,0.29,0.056,0.058,0.044,0.04,0.053,0.055,0.002,0.002,0.002,0.002,0.001,0.006,0,9,9,5,0,11,14,0,0,0,0,0
"2024-07-25 15:00:00",0.003,0.005,0.007,0.005,0.01,0.008,1.81,1.02,0.24,0.96,0.72,0.27,0.062,0.062,0.045,0.044,0.057,0.056,0.002,0.002,0.002,0.001,0.001,0.006,0,5,7,4,0,10,10,0,0,0,0,0
"2024-07-25 16:00:00",0.002,0.005,0.007,0.005,0.008,0.009,1.77,1,0.22,0.9,0.69,0.26,0.058,0.057,0.044,0.042,0.054,0.064,0.001,0.002,0.002,0.001,0.001,0.006,0,4,6,3,0,9,8,0,0,0,0,0
"2024-07-25 17:00:00",0.003,0.005,0.008,0.005,0.012,0.011,1.74,0.96,0.21,0.84,0.67,0.25,0.054,0.054,0.041,0.04,0.045,0.046,0.001,0.002,0.002,0.001,0.001,0.009,0,4,5,3,0,12,8,0,0,0,0,0
"2024-07-25 18:00:00",0.009,0.008,0.016,0.01,0.024,0.032,1.72,0.95,0.2,0.78,0.67,0.29,0.042,0.045,0.034,0.036,0.029,0.016,0.001,0.002,0.002,0.004,0.001,0.006,0,9,7,4,0,9,25,0,0,0,0,0
"2024-07-25 19:00:00",0.015,0.015,0.022,0.011,0.027,0.022,1.73,0.95,0.2,0.78,0.69,0.33,0.029,0.031,0.022,0.028,0.022,0.023,0.001,0.002,0.002,0.001,0.001,0.007,0,16,9,8,0,9,26,0,0,0,0,0
"2024-07-25 20:00:00",0.023,0.019,0.032,0.015,0.044,0.014,1.77,0.97,0.23,0.8,0.73,0.35,0.017,0.026,0.012,0.018,0.007,0.034,0.001,0.002,0.002,0.001,0.001,0.006,0,10,9,8,0,9,15,0,0,0,0,0
"2024-07-25 21:00:00",0.028,0.023,0.041,0.016,0.035,0.014,1.83,1,0.28,0.84,0.78,0.36,0.009,0.019,0.004,0.018,0.014,0.031,0.001,0.002,0.002,0.001,0.001,0.007,0,7,10,7,0,9,10,0,0,0,0,0
"2024-07-25 22:00:00",0.034,0.026,0.048,0.017,0.035,0.016,1.89,1.02,0.34,0.88,0.8,0.38,0.003,0.017,0,0.015,0.01,0.029,0.001,0.002,0.001,0.001,0.001,0.007,0,6,9,7,0,10,9,0,0,0,0,0
"2024-07-25 23:00:00",0.032,0.034,0.029,0.017,0.036,0.016,1.94,1.05,0.36,0.92,0.82,0.39,0.003,0.008,0.011,0.017,0.008,0.024,0.001,0.002,0.002,0.001,0.001,0.007,0,6,9,9,0,9,11,0,0,0,0,0
"2024-07-26 00:00:00",0.024,0.035,0.024,0.017,0.025,0.01,1.97,1.08,0.37,0.97,0.83,0.38,0.013,0.007,0.02,0.013,0.015,0.028,0.001,0.002,0.002,0.001,0.001,0.006,0,6,11,9,0,10,12,0,0,0,0,0
"2024-07-26 01:00:00",0.026,0.042,0.02,0.02,0.021,0.008,1.99,1.12,0.38,1,0.83,0.38,0.012,0.001,0.02,0.013,0.016,0.031,0.001,0.002,0.002,0.001,0.001,0.006,0,8,12,9,0,10,14,0,0,0,0,0
"2024-07-26 02:00:00",0.018,0.038,0.019,0.019,0.04,0.006,2,1.15,0.38,1.03,0.82,0.32,0.019,0.001,0.018,0.009,0.001,0.027,0.001,0.002,0.002,0.001,0.001,0.005,0,12,12,9,0,11,17,0,0,0,0,0
"2024-07-26 03:00:00",0.021,0.033,0.029,0.016,0.017,0.008,1.99,1.17,0.38,1.01,0.78,0.27,0.011,0.001,0.009,0.009,0.023,0.022,0.001,0.002,0.002,0.001,0.001,0.005,0,14,14,9,0,13,18,0,0,0,0,0
"2024-07-26 04:00:00",0.027,0.033,0.03,0.016,0.015,0.004,1.95,1.17,0.33,0.97,0.74,0.24,0.007,0.003,0.008,0.012,0.022,0.029,0.001,0.002,0.002,0.001,0.001,0.004,0,15,15,10,0,14,20,0,0,0,0,0
"2024-07-26 05:00:00",0.016,0.029,0.014,0.013,0.012,0.018,1.91,1.16,0.28,0.95,0.69,0.22,0.016,0.003,0.016,0.012,0.03,0.008,0.001,0.002,0.002,0.001,0.001,0.005,0,18,15,11,0,12,20,0,0,0,0,0
"2024-07-26 06:00:00",0.02,0.025,0.017,0.015,0.025,0.014,1.86,1.15,0.22,0.92,0.66,0.21,0.008,0.004,0.011,0.011,0.017,0.012,0.001,0.002,0.002,0.001,0.001,0.004,0,20,13,15,0,13,19,0,0,0,0,0
"2024-07-26 07:00:00",0.02,0.028,0.019,0.016,0.02,0.018,1.84,1.13,0.21,0.93,0.66,0.22,0.006,0.004,0.009,0.009,0.021,0.006,0.001,0.002,0.001,0.001,0.001,0.004,0,20,14,13,0,12,19,0,0,0,0,0
"2024-07-26 08:00:00",0.021,0.03,0.019,0.017,0.025,0.02,1.87,1.14,0.22,0.96,0.67,0.3,0.008,0.008,0.013,0.01,0.015,0.004,0.001,0.002,0.001,0.001,0.001,0.005,0,16,13,11,0,11,18,0,0,0,0,0
"2024-07-26 09:00:00",0.015,0.026,0.014,0.013,0.017,0.011,1.89,1.15,0.22,0.98,0.68,0.31,0.023,0.019,0.024,0.016,0.025,0.021,0.001,0.002,0.002,0.002,0.001,0.005,0,14,9,9,0,11,21,0,0,0,0,0
"2024-07-26 10:00:00",0.015,0.027,0.016,0.013,0.021,0.012,1.9,1.15,0.22,1,0.67,0.33,0.029,0.022,0.027,0.025,0.028,0.033,0.002,0.002,0.002,0.002,0.002,0.005,0,13,8,8,0,11,21,0,0,0,0,0
