"Date_Time","CAP_NO2","COR_NO2","EPG_NO2","FEO_NO2","JOV_NO2","SJU_NO2","CAP_CO","COR_CO","EPG_CO","FEO_CO","JOV_CO","SJU_CO","CAP_O3","COR_O3","EPG_O3","FEO_O3","JOV_O3","SJU_O3","CAP_SO2","COR_SO2","EPG_SO2","FEO_SO2","JOV_SO2","SJU_SO2","CAP_PM25","COR_PM25","EPG_PM25","FEO_PM25","JOV_PM25","SJU_PM25","CAP_PM10","COR_PM10","EPG_PM10","FEO_PM10","JOV_PM10","SJU_PM10"
"2024-07-07 18:00:00",0.008,0.009,0.008,0.012,0.008,0.003,1.3,0,0.39,0.57,0.46,0.09,0.083,0.077,0.06,0.054,0.071,0.057,0.002,0,0.002,0.001,0.001,0.003,0,13,16,16,0,8,42,0,0,0,0,0
"2024-07-07 19:00:00",0.008,0.01,0.01,0.011,0.009,0.005,1.31,0.94,0.38,0.56,0.46,0.08,0.083,0.077,0.057,0.057,0.071,0.052,0.002,0,0.002,0.001,0.001,0.003,0,14,15,15,0,8,37,0,0,0,0,0
"2024-07-07 20:00:00",0.013,0.019,0.025,0.011,0.011,0.015,1.34,0.93,0.35,0.58,0.47,0.1,0.069,0.062,0.043,0.052,0.064,0.038,0.002,0,0.002,0.001,0.001,0.003,0,15,17,16,0,14,37,0,0,0,0,0
"2024-07-07 21:00:00",0.032,0.025,0.034,0.016,0.035,0.007,1.4,0.92,0.38,0.62,0.52,0.11,0.033,0.039,0.03,0.039,0.036,0.036,0.002,0,0.002,0.001,0.001,0.003,0,20,20,16,0,17,47,0,0,0,0,0
"2024-07-07 22:00:00",0.024,0.015,0.015,0.016,0.019,0.007,1.45,0.89,0.38,0.68,0.54,0.13,0.025,0.042,0.025,0.025,0.031,0.037,0.002,0,0.002,0.001,0.001,0.003,0,23,20,15,0,17,61,0,0,0,0,0
"2024-07-07 23:00:00",0.01,0.01,0.013,0.012,0.012,0.006,1.46,0.88,0.37,0.74,0.56,0.14,0.047,0.05,0.031,0.03,0.044,0.037,0.002,0,0.002,0.002,0.001,0.003,0,24,17,13,0,17,61,0,0,0,0,0
"2024-07-08 00:00:00",0.008,0.006,0.014,0.01,0.008,0.012,1.48,0.86,0.39,0.78,0.57,0.15,0.05,0.055,0.037,0.035,0.05,0.028,0.002,0,0.002,0.002,0.001,0.003,0,24,19,15,0,17,56,0,0,0,0,0
"2024-07-08 01:00:00",0.004,0.005,0.014,0.01,0.009,0.005,1.47,0.84,0.42,0.8,0.58,0.15,0.061,0.058,0.037,0.035,0.053,0.035,0.002,0,0.002,0.002,0.001,0.003,0,16,16,15,0,19,41,0,0,0,0,0
"2024-07-08 02:00:00",0.006,0.013,0.015,0.007,0.009,0.004,1.46,0.81,0.4,0.8,0.59,0.15,0.05,0.042,0.034,0.041,0.043,0.032,0.002,0,0.002,0.002,0.001,0.003,0,15,15,14,0,20,31,0,0,0,0,0
"2024-07-08 03:00:00",0.012,0.009,0.007,0.007,0.007,0.011,1.47,0.81,0.4,0.81,0.6,0.15,0.027,0.04,0.04,0.034,0.042,0.022,0.002,0,0.002,0.002,0.001,0.003,0,17,14,14,0,17,27,0,0,0,0,0
"2024-07-08 04:00:00",0.013,0.012,0.008,0.008,0.011,0.027,1.46,0.82,0.41,0.81,0.61,0.13,0.022,0.029,0.037,0.029,0.033,0.002,0.002,0,0.002,0.002,0.001,0.003,0,19,15,14,0,16,21,0,0,0,0,0
"2024-07-08 05:00:00",0.019,0.013,0.014,0.01,0.024,0.029,1.42,0.83,0.38,0.79,0.59,0.12,0.013,0.021,0.028,0.022,0.016,0.002,0.002,0,0.002,0.002,0.001,0.004,0,22,14,15,0,18,21,0,0,0,0,0
"2024-07-08 06:00:00",0.016,0.023,0.027,0.015,0.029,0.026,1.4,0.87,0.4,0.77,0.61,0.12,0.011,0.007,0.014,0.009,0.007,0.004,0.002,0,0.002,0.002,0.001,0.004,0,27,15,15,0,22,25,0,0,0,0,0
"2024-07-08 07:00:00",0.023,0.028,0.032,0.019,0.031,0.024,1.43,0.93,0.4,0.78,0.67,0.15,0.003,0.003,0.007,0.006,0.006,0.003,0.002,0.002,0.002,0.002,0.001,0.004,0,28,17,15,0,23,30,0,0,0,0,0
"2024-07-08 08:00:00",0.019,0.024,0.034,0.014,0.024,0.025,1.45,1,0.4,0.8,0.72,0.21,0.011,0.012,0.01,0.015,0.019,0.005,0.002,0.002,0.002,0.002,0.001,0.005,0,24,20,19,0,21,35,0,0,0,0,0
"2024-07-08 09:00:00",0.016,0.018,0.03,0.013,0.023,0.017,1.47,1.04,0.37,0.84,0.75,0.24,0.023,0.03,0.021,0.022,0.027,0.023,0.002,0.002,0.003,0.002,0.001,0.005,0,21,19,21,0,20,38,0,0,0,0,0
"2024-07-08 10:00:00",0.01,0.012,0.035,0.012,0.022,0.013,1.48,1.06,0.38,0.87,0.78,0.27,0.044,0.048,0.025,0.036,0.04,0.041,0.003,0.002,0.003,0.002,0.001,0.005,0,17,20,20,0,18,37,0,0,0,0,0
"2024-07-08 11:00:00",0.008,0.01,0.015,0.008,0.015,0.009,1.48,1.08,0.39,0.88,0.8,0.29,0.059,0.063,0.049,0.051,0.057,0.059,0.003,0.002,0.003,0.002,0.001,0.005,0,11,17,17,0,16,31,0,0,0,0,0
"2024-07-08 12:00:00",0.009,0.008,0.014,0.009,0.012,0.006,1.48,1.09,0.39,0.88,0.8,0.3,0.08,0.079,0.061,0.059,0.067,0.066,0.003,0.003,0.003,0.002,0.001,0.005,0,11,13,11,0,15,24,0,0,0,0,0
